Sorter0,
ArrayLength,Runtime D
2635,0.002526084
2637,0.002529125
2639,0.00254025
2641,0.002588042
2643,0.002613667
2645,0.002619917
2647,0.002619084
2649,0.002630083
2651,0.00263
2653,0.002672958
2655,0.002692958
2657,0.002718792
2659,0.002718625
2661,0.002727125
2663,0.002689833
2665,0.002663834
2667,0.002665
2669,0.002664
2671,0.002674917
2673,0.002671
2675,0.002679417
2677,0.002683875
2679,0.00269875
2681,0.002728666
2683,0.002689125
2685,0.002691667
2687,0.00270875
2689,0.002715708
2691,0.002704917
2693,0.002775666
2695,0.002733125
2697,0.002805583
2699,0.002735875
2701,0.002736
2703,0.002757417
2705,0.00279775
2707,0.002743834
2709,0.002741209
2711,0.002732166
2713,0.002830083
2715,0.002774667
2717,0.002748917
2719,0.002807417
2721,0.002819041
2723,0.002753
2725,0.002693125
2727,0.002779667
2729,0.002734541
2731,0.002820125
2733,0.002802541
2735,0.002860542
2737,0.002797583
2739,0.002829125
2741,0.00289125
2743,0.002822791
2745,0.002768917
2747,0.002809458
2749,0.002839333
2751,0.002910458
2753,0.002907125
2755,0.002834959
2757,0.002861875
2759,0.002946459
2761,0.002848666
2763,0.002837291
2765,0.002868625
2767,0.002857
2769,0.002864208
2771,0.002865666
2773,0.002873125
2775,0.002875625
2777,0.002880042
2779,0.002884708
2781,0.002896125
2783,0.002889708
2785,0.002876917
2787,0.002903292
2789,0.002913209
2791,0.002906125
2793,0.002923833
2795,0.002919834
2797,0.002894041
2799,0.002926625
2801,0.002940083
2803,0.002932875
2805,0.002937417
2807,0.002942875
2809,0.002942458
2811,0.002947792
2813,0.002936084
2815,0.002959208
2817,0.002961583
2819,0.002974916
2821,0.002969708
2823,0.002972917
2825,0.002984708
2827,0.002980541
2829,0.003009708
2831,0.003076042
2833,0.00308725
2835,0.003026542
2837,0.003000708
2839,0.0030045
2841,0.003000583
2843,0.003077417
2845,0.003029916
2847,0.003019542
2849,0.003031708
2851,0.003038334
2853,0.003061125
2855,0.00297725
2857,0.002945667
2859,0.002964709
2861,0.003081125
2863,0.003119584
2865,0.003062541
2867,0.003081334
2869,0.003084083
2871,0.003090917
2873,0.0030735
2875,0.003101292
2877,0.003150292
2879,0.003122292
2881,0.003086875
2883,0.0031005
2885,0.003121917
2887,0.003157917
2889,0.003107083
2891,0.00308775
2893,0.003089083
2895,0.003181458
2897,0.003125958
2899,0.003111542
2901,0.003133667
2903,0.003042125
2905,0.003048584
2907,0.003101917
2909,0.003157334
2911,0.003162542
2913,0.003160542
2915,0.003164791
2917,0.003168417
2919,0.0031525
2921,0.003179291
2923,0.003173875
2925,0.003184708
2927,0.00318275
2929,0.0031685
2931,0.003191
2933,0.00320675
2935,0.003206
2937,0.003199916
2939,0.003215917
2941,0.003214583
2943,0.003224166
2945,0.003241916
2947,0.003227917
2949,0.003234625
2951,0.003229167
2953,0.003235625
2955,0.003248333
2957,0.003246417
2959,0.003246584
2961,0.003309208
2963,0.003301
2965,0.003267167
2967,0.003259958
2969,0.003305709
2971,0.003303334
2973,0.003256459
2975,0.003243125
2977,0.003292333
2979,0.003352333
2981,0.003316125
2983,0.00329725
2985,0.003233916
2987,0.003435
2989,0.003307709
2991,0.003326459
2993,0.003396417
2995,0.003427417
2997,0.003355
2999,0.003332459
3001,0.003383708
3003,0.00336375
3005,0.00335475
3007,0.003347541
3009,0.003370083
3011,0.003264292
3013,0.003302625
3015,0.0033165
3017,0.00338475
3019,0.003288625
3021,0.003320208
